Source sentence,Answer sentence,Event1,Event2,labels
"The company attributed the decrease in part to the exclusion of the company 's British sales from the current year 's figures as a result of the subsidiary 's status as a proposed discontinued operation and , in part , to lower sales in certain key foreign and domestic accounts . ",status is the cause of exclusion ,status ,exclusion ,Cause-Effect
"Upjohn further estimated that about 50 % of the employees who leave for early retirement may be replaced . An Upjohn spokesman said he had "" heard nothing "" to suggest the early retirement package was spurred by shareholder pressure or a potential bidder for the company , which occasionally has been the target of takeover speculation . ",leave and spurred have no relationship,leave ,spurred ,NONE
"The company said the debentures are being issued at an issue price of $ 849 for each $ 1,000 principal amount and are convertible at any time prior to maturity at a conversion price of $ 25 a share . Sun Microsystems Inc., a computer maker , announced the effectiveness of its registration statement for $ 125 million of 6 3/8 % convertible subordinated debentures due Oct . 15 , 1999 . ",maturity and due have no relationship,maturity ,due ,NONE
"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . James Fallon , a New Providence , N.J., marketing consultant to the chemicals industry , says Du Pont still holds an edge in making the pigment because the company was "" first in with the technology "" to lower costs . ",delayed and was have no relationship,delayed ,was ,NONE
"The 32 % state-owned DSM had eight million guilders of extraordinary charges in the latest quarter , mainly to reflect one-time losses in connection with the disposal of some operations . ",disposal is the cause of losses ,disposal ,losses ,Cause-Effect
""" We consider that his bid is an acceptable bid , "" said Sandra Kolber , spokeswoman for the independent directors ' committee appointed last May to solicit and review bids for the company in the wake of a dispute between Mr. Drabinsky and Cineplex 's major shareholder , MCA Inc. ",dispute is the cause of review ,dispute ,review ,Cause-Effect
The company said it expects to release third-quarter results in mid-November . ,expects and said have no relationship,expects ,said ,NONE
"In a statement , the White House said it would do "" whatever is necessary "" to ensure compliance with the sanctions . Iraq 's Saddam Hussein , his options for ending the Persian Gulf crisis growing increasingly unpleasant , assumed the role of embattled Arab hero in offering his first rough proposal for a negotiated end to the confrontation . ",sanctions and offering have no relationship,sanctions ,offering ,NONE
"Replied State Department deputy spokesman Richard Boucher , "" We have n't really analyzed the statement in detail but it appears to be just another example of his outlandish rhetoric and his attempts to distort the truth . The Persian Gulf showdown between Iraq and the United States took a more personal turn Thursday when Iraq 's Saddam Hussein called President Bush a liar and said the outbreak of holy war could bring thousands of Americans home in coffins . ",attempts and bring have no relationship,attempts ,bring ,NONE
Hadson Corp. said it expects to report a third-quarter net loss of $ 17 million to $ 19 million because of special reserves and continued low natural-gas prices . ,prices is the cause of loss ,prices ,loss ,Cause-Effect
"For nearly forty years , the United States has said categorically it would not tolerate totalitarian rule in its own backyard . That will , in turn , bring pressure on Washington to change . ",tolerate and change have no relationship,tolerate ,change ,NONE
"Despite continuing problems in its newsprint business , Kimberly - Clark Corp. posted a 20 % gain in third-quarter net income . After a flat second quarter tied largely to lower newsprint earnings , Kimberly - Clark attributed the gain to improved results in its consumer businesses in North America , Brazil and Korea . ",income and gain have no relationship,income ,gain ,NONE
"Qantas plans daily flights between Sydney and Bombay , up from the current four flights a week , to boost business and tourism ties with India , the airline announced Friday . Qantas ' India manager Khursheed Lam said the airline was working closely with the Australian Tourist Commission to develop greater awareness of Australia in the Indian market . ",boost and develop have no relationship,boost ,develop ,NONE
"Over the weekend , McCaw continued to call for an auction of LIN . The debt , estimated at $ 4.7 billion , could mortgage the cellular company 's future earning power in order to placate some LIN holders in the short term . ",continued and mortgage have no relationship,continued ,mortgage ,NONE
Iraq said it invaded Kuwait because of disputes over oil and money . ,disputes is the cause of invaded ,disputes ,invaded ,Cause-Effect
"The appointment takes effect Nov . 13 . In addition , operating results were hit by an increase in loan and real estate loss reserves . ",appointment and increase have no relationship,appointment ,increase ,NONE
"In space , some say female pilots were held up until now by the lack of piloting opportunities for them in the military . ",lack is the cause of held ,lack ,held ,Cause-Effect
""" Our company has not been able to cope very effectively with "" changes in the marketplace , said Ryosuke Ito , Sansui 's president . "" Whatever capital it ( Sansui ) needs so it can compete and become a totally global entity capable of competing with the best in the world , that capital will be injected , "" Mr. Nadir said . ",said and compete have no relationship,said ,compete ,NONE
Prime Minister Benjamin Netanyahu told his Cabinet on Sunday that Israel was willing to withdraw from southern Lebanon provided Israel 's northern frontier could be secured . Cabinet minister Michael Eitan said Sunday that Netanyahu 's remarks marked a substantive change in Israel 's position . ,secured and said have no relationship,secured ,said ,NONE
"QVC agreed to pay $ 19 and one-eighth QVC share for each of CVN 's 20 million fully diluted shares . The acquisition brings together the two largest competitors to Home Shopping Network Inc., which now reaches more viewers than any other company in the video shopping industry . ",pay and brings have no relationship,pay ,brings ,NONE
"A second group of three company directors , aligned with Rally 's founder James Patterson , also is seeking control of the fast-food chain . Giant Group owned 22 % of Rally 's shares before the initial public offering . ",seeking and owned have no relationship,seeking ,owned ,NONE
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year . ,surfaced is the cause of enhance ,surfaced ,enhance ,Cause-Effect
The demand for workers also led employers to raise wages again last month . ,demand is the cause of raise ,demand ,raise ,Cause-Effect
The truck maker said the significant drop in net income will result in lower earnings for the fiscal year . ,drop is the cause of earnings ,drop ,earnings ,Cause-Effect
"Despite continuing problems in its newsprint business , Kimberly - Clark Corp. posted a 20 % gain in third-quarter net income . After a flat second quarter tied largely to lower newsprint earnings , Kimberly - Clark attributed the gain to improved results in its consumer businesses in North America , Brazil and Korea . ",income and gain have no relationship,income ,gain ,NONE
"The notes will have a principal amount of $ 300 million at maturity . The gross proceeds from the sale of the notes , which will be due on Nov . 1 , 2004 , will be used to reduce existing debt and for general corporate purposes , the company said . ",have and said have no relationship,have ,said ,NONE
"The following month , the company put itself up for sale . American Medical accepted the offer , meanwhile indicating it had heard from two other suitors . ",put and indicating have no relationship,put ,indicating ,NONE
"Total Assets Protection Inc., rebounding from its earlier loss , expects to report earnings from operations of about $ 200,000 for the third quarter , J.C. Matlock , chairman , said . ",earnings and report have no relationship,earnings ,report ,NONE
"Defense Minister Yitzhak Mordechai was the first senior Israeli official to refer to U.N. resolution 425 in a speech six weeks ago , saying at the time he was willing to withdraw troops in exchange for guarantees that Israel would not be attacked . ",guarantees is the cause of withdraw ,guarantees ,withdraw ,Cause-Effect
But even continued military success carries political and diplomatic risks for President Bush and the U.S. ,success is the cause of risks ,success ,risks ,Cause-Effect
Thousands of people in Germany have been demonstrating today against the high level of unemployment in the country . And the German electorate appears increasingly eager to dispense with the services of Europe 's longest serving leader . ,demonstrating and eager have no relationship,demonstrating ,eager ,NONE
"Speaking on the ABC program , Abdul Amir al-Anbari , Iraq 's ambassador to the U.N., asserted that an embargo on Iraq could plunge the U.S. into a "" depression "" and the rest of the world into an economic "" crisis . "" ",embargo is the cause of crisis ,embargo ,crisis ,Cause-Effect
"Meanwhile , as VOA West Africa Correspondent Purnell Murdock reports , General Abacha 's supporters began a two day rally in the capital , Abuja , to urge him to compete in this year 's election . ",began and reports have no relationship,began ,reports ,NONE
"It has n't diversified beyond steel , nor has it linked up with a joint venture partner to share costs and risks . Still , Bethlehem 's core basic steel operations experienced a steep drop in operating profit to $ 58.6 million from $ 186.4 million a year ago , when the industry enjoyed strong demand and pricing . ",diversified and drop have no relationship,diversified ,drop ,NONE
Extremists have bombed two predominantly pro-British Protestant towns and fired mortar shells at a police station since Sinn Fein was expelled from peace talks on Feb . 20 in punishment for two killings blamed on the Irish Republican Army . ,killings is the cause of expelled ,killings ,expelled ,Cause-Effect
"The Oklahoma City energy and defense concern said it will record a $ 7.5 million reserve for its defense group , including a $ 4.7 million charge related to problems under a fixed-price development contract and $ 2.8 million in overhead costs that wo n't be reimbursed . ",reimbursed and problems have no relationship,reimbursed ,problems ,NONE
The company said it was delaying construction because of current market conditions . ,conditions is the cause of delaying ,conditions ,delaying ,Cause-Effect
"Iraqi military authorities ordered all Americans and Britons in Kuwait to assemble at a hotel , officials said . Bush , commenting on the two-week gulf crisis from his vacation home in Maine , said he saw little reason to be optimistic about a settlement of the dispute , which stems from Iraq 's invasion of oil-wealthy Kuwait and its subsequent military buildup on the border of Saudi Arabia . ",ordered and crisis have no relationship,ordered ,crisis ,NONE
"The U.S. maintains that under the U.N. charter , the Kuwaiti request triggers steps for the collective enforcement of international sanctions . ",steps is the cause of sanctions ,steps ,sanctions ,Cause-Effect
"StatesWest Airlines , Phoenix , Ariz . , said it withdrew its offer to acquire Mesa Airlines because the Farmington , N.M., carrier did n't respond to its offer by the close of business yesterday , a deadline StatesWest had set for a response . ",respond is the cause of withdrew ,respond ,withdrew ,Cause-Effect
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes , including establishing new operating centers and possible acquisitions . Home Nutritional currently has 10 million shares outstanding . ",repay and has have no relationship,repay ,has ,NONE
"Security said it signed a letter of intent to purchase La Jolla Bancorp , agreeing to pay $ 15 of its own stock for each share of La Jolla . ",agreeing and purchase have no relationship,agreeing ,purchase ,NONE
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business , and took a $ 50.9 million loss from discontinued operations in the third quarter because of the planned sale . In the third quarter , the company , which is 61 % - owned by Murphy Oil Corp. of Arkansas , had a net loss of $ 46.9 million , or 91 cents a share , compared with a restated loss of $ 9 million , or 18 cents a share , a year ago . ",operations and had have no relationship,operations ,had ,NONE
"That accord also called for Hewlett - Packard to buy 730,070 Octel shares in the open market within 18 months . Octel said the purchase was expected . ",called and expected have no relationship,called ,expected ,NONE
"President Clinton , meantime , glossed over stern warnings from Moscow on Thursday that US air strikes against Iraq could do serious harm to relations with the Kremlin . Saddam will know by our actions and our warning that we will be prepared to act again if we have evidence he is trying to rebuild his weapons of mass destruction capabilities . ",do and act have no relationship,do ,act ,NONE
"Although profits were "" squeezed "" in 1989 , mainly as a result of higher raw-material costs , the company said it is confident about future earnings and cash flow for 1990 and beyond . ",costs is the cause of squeezed ,costs ,squeezed ,Cause-Effect
"The Security Council has said it will not lift the sweeping sanctions imposed on Iraq after its 1990 invasion of Kuwait until the U.N. inspectors certify that Baghdad has eliminated its weapons of mass destruction . Ritter 's return is seen as something of a test of that agreement , under which Iraq agreed to give inspectors full access to eight of Saddam Hussein 's presidential palaces . ",invasion and test have no relationship,invasion ,test ,NONE
The earnings growth also was fueled by the company 's ability to cut net financing spending by half to around 15 million guilders . ,cut is the cause of growth ,cut ,growth ,Cause-Effect
"Mr. Lortie 's departure , while sudden , was seen as inevitable in light of the shift in strategy . In a stunning shift in direction , Provigo Inc. said it will sell all its non-food operations to concentrate solely on its retail and wholesale grocery business . ",inevitable and said have no relationship,inevitable ,said ,NONE
"The latest results include some unusual write-downs , which had an after-tax impact of $ 4.9 million . In addition , operating results were hit by an increase in loan and real estate loss reserves . ",include and results have no relationship,include ,results ,NONE
"Control Data 's semiconductor business , VTC Inc., continues to lose money , the executives acknowledged , but they said they consider some of the technology vital to national defense and so are reluctant to dispose of it . Now , following asset sales that shrank revenue by more than one-third this year alone , Control Data is flush with cash . ",consider and shrank have no relationship,consider ,shrank ,NONE
"She says her group is appealing to individuals , to the international community , and to the combatants and people of Afghanistan to stop the bloodletting which has torn the country apart . Special events are being organized by the European Commission and individual nations in Europe , North America , and other parts of the world . ",appealing and organized have no relationship,appealing ,organized ,NONE
"In the business world , the Internet - through intranet and extranet solutions - has become an invaluable tool for companies to harness so as to gain a competitive edge . The solutions are also vital components in developing the borderless marketing flagship application which is a vital element for spearheading the development of the Multimedia Super Corridor ( MSC ) project . ",become and development have no relationship,become ,development ,NONE
"The offer , which was due to expire yesterday , is conditional on 50.1 % of Dunkin ' common shares , on a fully diluted basis , being tendered and on the withdrawal of the company 's poison pill rights plan . The partners said they already hold 15 % of all shares outstanding . ",tendered and hold have no relationship,tendered ,hold ,NONE
"Profit also suffered because of "" intense "" discounting in its long-haul trucking business , the company said . ",discounting is the cause of suffered ,discounting ,suffered ,Cause-Effect
"The U.S. maintains that under the U.N. charter , the Kuwaiti request triggers steps for the collective enforcement of international sanctions . ",request is the cause of steps ,request ,steps ,Cause-Effect
Earlier AT and T also announced an eighteen percent drop in profits for the fourth quarter . I think it 's a good thing that they 're finally going to be downsizing you know some management because there is a whole lot of waste . ,announced and think have no relationship,announced ,think ,NONE
"With potential inflation counterbalanced by worries about possible price declines , the Fed and its chairman , Alan Greenspan , have suggested that they intend to keep interest rates unchanged until the economy tilts clearly in one direction or another . ",counterbalanced is the cause of intend ,counterbalanced ,intend ,Cause-Effect
"Well , this is the eve of the Pope 's visit to one of the last bastions of Communism anywhere in the world , and it is already causing enormous expectations . ",visit is the cause of expectations ,visit ,expectations ,Cause-Effect
"Chandler Insurance Co. said it expects to report third-quarter net income jumped 97 % to $ 2.8 million , or 51 cents a share . In the year-earlier quarter , the automobile and trucking insurer had earnings of $ 1.4 million , or 48 cents a share on a restated basis , on revenue of $ 16.5 million . ",jumped and had have no relationship,jumped ,had ,NONE
"Experts say the ground is so saturated it can not absorb any more water . In the northern California town of Rio Nido , officials say a football field sized slab of hillside could still break loose at any time and destroy an entire neighborhood . ",say and destroy have no relationship,say ,destroy ,NONE
"The company attributed the decrease in part to the exclusion of the company 's British sales from the current year 's figures as a result of the subsidiary 's status as a proposed discontinued operation and , in part , to lower sales in certain key foreign and domestic accounts . ",sales is the cause of exclusion ,sales ,exclusion ,Cause-Effect
"I think that the mood is fairly gloomy , and I think it 's not going to change for a couple of years . So for Hong Kong , it 's time , as investment bankers like to say , to reposition . ",change is the cause of reposition ,change ,reposition ,Cause-Effect
A major factor in the third-quarter loss was the write-down of $ 143.6 million of goodwill . Crossland Savings Bank 's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec . 7 . ,loss and meet have no relationship,loss ,meet ,NONE
"Total Assets Protection Inc., rebounding from its earlier loss , expects to report earnings from operations of about $ 200,000 for the third quarter , J.C. Matlock , chairman , said . ",loss and expects have no relationship,loss ,expects ,NONE
He could n't be reached for comment . He said all three non-food operations are profitable . ,reached and profitable have no relationship,reached ,profitable ,NONE
"In a statement , Scott McNealy , Sun 's chief executive officer , said the company 's performance was hampered by problems tied to the introduction of a major new family of computers in April . Sun Microsystems Inc., snapping back to profitability after its first quarterly loss as a public firm , said it earned $ 5.2 million , or seven cents a share , in the fiscal first quarter . ",hampered and loss have no relationship,hampered ,loss ,NONE
The plan was filed jointly with unsecured creditors in federal bankruptcy court in New York and must be approved by the court . ,filed is the cause of approved ,filed ,approved ,Cause-Effect
"Newsprint results continued to be depressed , the company added , because of industrywide price discounting . ",discounting is the cause of continued ,discounting ,continued ,Cause-Effect
Operating profit in the company 's abrasives segment rose 16 % while operating profit in the engineering materials segment rose 2 % . ,rose and rose have no relationship,rose ,rose ,NONE
"The company noted that its Fox - Meyer Drug Co., Ben Franklin Stores Inc. and Permian Corp. operations showed improvements as a result of restructuring moves . ",moves is the cause of showed ,moves ,showed ,Cause-Effect
Operating profit in the company 's abrasives segment rose 16 % while operating profit in the engineering materials segment rose 2 % . Norton announced earlier this month that it was exploring the possible sale of all or part of Eastman Christensen . ,rose and sale have no relationship,rose ,sale ,NONE
"They 've been given a mandate from Switzerland "" to expand their U.S. chocolate operations . That sale , however , could still fall through if financing problems develop . ",given and develop have no relationship,given ,develop ,NONE
"With the convergence of communications and information technologies ( IT ) coupled with the coming of age for the Internet and its related technologies , the stage is set for Malaysians to seize the chance to transform into a knowledge society and become worthy opponents / players in the global market space . ",convergence is the cause of set ,convergence ,set ,Cause-Effect
"The reason , they remember Richard Jewell . Publicly , they are unwilling to make any sweeping assertion . ",remember is the cause of unwilling ,remember ,unwilling ,Cause-Effect
""" Whatever capital it ( Sansui ) needs so it can compete and become a totally global entity capable of competing with the best in the world , that capital will be injected , "" Mr. Nadir said . ",needs is the cause of compete ,needs ,compete ,Cause-Effect
Travelers estimated that the California earthquake last month will result in a fourth-quarter pre-tax charge of less than $ 10 million . ,earthquake is the cause of charge ,earthquake ,charge ,Cause-Effect
"The remaining $ 40 million can be used over three years for oil and gas acquisitions , the company said . The company put up "" virtually all "" of its oil and gas properties as collateral , he said . ",used and said have no relationship,used ,said ,NONE
"The GM move follows Tuesday 's declaration by Ford , which holds an unwelcome 12.45 % stake in Jaguar , that it is prepared to bid for the entire company . ",declaration is the cause of move ,declaration ,move ,Cause-Effect
"WASHINGTON _ The economy created jobs at a surprisingly robust pace in January , the government reported on Friday , evidence that America 's economic stamina has withstood any disruptions caused so far by the financial tumult in Asia . ",tumult is the cause of disruptions ,tumult ,disruptions ,Cause-Effect
"The adjustments result from the recently passed thrift-industry bailout legislation , which requires thrifts to divest all high-yield bond investments by 1994 . Thrift officials said the $ 300 million reserve will be adjusted quarterly and will reflect the rate of dispositions and market conditions . ",passed is the cause of adjusted ,passed ,adjusted ,Cause-Effect
"However , it is important to note that installing or implementing Internet technologies for technology 's sake would not ensure instant success . ",implementing is the cause of success ,implementing ,success ,Cause-Effect
"And to protect their reduced capital investment from eroding further , market makers became quicker to lower price quotes when sell programs are in progress . LIN Broadcasting surged 4 5/8 to 112 5/8 ; ",protect and surged have no relationship,protect ,surged ,NONE
"It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices , among other charges . ",overproducing is the cause of slashing ,overproducing ,slashing ,Cause-Effect
"But that option is growing less and less likely as thousands of American , British , Egyptian , Syrian and Moroccan forces assemble in and around Saudi Arabia to protect the kingdom . ",assemble is the cause of growing ,assemble ,growing ,Cause-Effect
"Earlier , Mesa had rejected a general proposal from StatesWest to combine the two carriers in some way . StatesWest Airlines , Phoenix , Ariz . , said it withdrew its offer to acquire Mesa Airlines because the Farmington , N.M., carrier did n't respond to its offer by the close of business yesterday , a deadline StatesWest had set for a response . ",combine and offer have no relationship,combine ,offer ,NONE
Extremists have bombed two predominantly pro-British Protestant towns and fired mortar shells at a police station since Sinn Fein was expelled from peace talks on Feb . 20 in punishment for two killings blamed on the Irish Republican Army . Police said an unmarked police car was hit with gasoline bombs from the Protestant side . ,bombed and hit have no relationship,bombed ,hit ,NONE
"Trustcorp Inc. will become Society Bank amp Trust when its merger is completed with Society Corp. of Cleveland , the bank said . Society Corp., which is also a bank , agreed in June to buy Trustcorp for 12.4 million shares of stock with a market value of about $ 450 million . ",become and buy have no relationship,become ,buy ,NONE
"Compaq Computer Corp. said that its net income rose 51 % in the third quarter , bolstered by unusual gains from its investment in a disk-drive maker and reflecting continued growth in its European operations . ",gains is the cause of bolstered ,gains ,bolstered ,Cause-Effect
"But Kenneth Leon , a telecommunications analyst with Bear , Stearns amp Co., finds the BellSouth proposal still flawed because the company does n't have to wait five years to begin buying more LIN shares . ",wait is the cause of flawed ,wait ,flawed ,Cause-Effect
"Revenue totaled $ 1.01 billion , a 43 % increase from $ 704.4 million , reflecting the company 's acquisition of Emery earlier this year . "" They have to continue to tighten their belts , "" said Craig Kloner , an analyst at Goldman , Sachs amp Co. ",totaled and said have no relationship,totaled ,said ,NONE
"Some had predicted earnings of more than $ 4 a share for this year , up from last year 's fully diluted $ 3.27 a share on earnings of $ 680.6 million . Unisys , whose revenue inched up 3.7 % in the quarter to $ 2.35 billion from $ 2.27 billion in the year-earlier quarter , had an operating loss of about $ 30 million . ",earnings and loss have no relationship,earnings ,loss ,NONE
"Orkem S.A., a French state-controlled chemical manufacturer , is making a friendly bid of 470 pence ( $ 7.43 ) a share for the 59.2 % of U.K. specialty chemical group Coates Brothers PLC which it does n't already own , the two sides said . Orkem , France 's third-largest chemical group , said it would fund the acquisition through internal resources . ",bid and acquisition have no relationship,bid ,acquisition ,NONE
The offer is being launched pursuant to a previously announced agreement between the companies . ,agreement and announced have no relationship,agreement ,announced ,NONE
"In addition , operating results were hit by an increase in loan and real estate loss reserves . ",increase is the cause of hit ,increase ,hit ,Cause-Effect
The charges were offset in part by a gain from the sale of the company 's construction division . ,sale is the cause of gain ,sale ,gain ,Cause-Effect
"But the pharmaceutical company said it "" anticipates the long-term savings resulting from the plan 's implementation will more than offset short-term costs . "" ",implementation is the cause of savings ,implementation ,savings ,Cause-Effect
"The New York-based company reported a third-quarter net loss of $ 5.1 million , or 10 cents a share , compared with a year-earlier net loss of $ 6.2 million , or 12 cents a share . The company said 80 % of its auction business is usually conducted in the second and fourth quarters , with the current quarter having begun "" extremely well . "" ",loss and conducted have no relationship,loss ,conducted ,NONE
"In the latest quarter , Aetna had a $ 23 million loss on its auto / homeowners line , compared with earnings of $ 33 million last year . In New York Stock Exchange composite trading Friday , Aetna closed at $ 60 , down 50 cents . ",loss and closed have no relationship,loss ,closed ,NONE
"The results made net income for the year ended Aug . 31 C $ 2.7 million , or 20 Canadian cents a share , down from C $ 9.7 million , or 70 Canadian cents a share last year . "" I 'm happy that he feels positively about our company , "" he said . ",results and feels have no relationship,results ,feels ,NONE
"Pentagon sources in Washington meanwhile said the Bush administration plans to deploy 45,000 Marines to the region to back up the thousands of Army , Navy and Air Force troops already in place in the gulf and the Saudi desert . There was no decision on a meeting . ",said and meeting have no relationship,said ,meeting ,NONE
"Heritage Media Corp., New York , said it offered to buy the shares of POP Radio Corp. it does n't already own in a stock swap . Depending upon how many warrants and options are exercised prior to completion of the transaction , Heritage would issue between 1.8 million and 2.35 million preferred shares , a Heritage spokesman estimated . ",buy and estimated have no relationship,buy ,estimated ,NONE
"If that 's true , the narrowing of his support would make it easier for someone to push him aside from within . ",narrowing is the cause of push ,narrowing ,push ,Cause-Effect
His promise to half unemployment by the year two thousand has now been abandoned . Thousands of people in Germany have been demonstrating today against the high level of unemployment in the country . ,promise and demonstrating have no relationship,promise ,demonstrating ,NONE
LIN Broadcasting surged 4 5/8 to 112 5/8 ; Intel told analysts that the company will resume shipments of the chips within two to three weeks . ,surged and shipments have no relationship,surged ,shipments ,NONE
CNW Corp. said the final step in the acquisition of the company has been completed with the merger of CNW with a subsidiary of Chicago amp North Western Holdings Corp. ,merger and completed have no relationship,merger ,completed ,NONE
He also rejected reports that his departure stemmed from disappointment the general manager 's post had n't also led to a board directorship at the London-based news organization . ,disappointment is the cause of departure ,disappointment ,departure ,Cause-Effect
"Despite the recent possibility of military conflict with Iraq , oil prices have been falling , that 's because of a worldwide glut of oil . That according to the Lundberg survey of ten thousand gas stations nationwide . ",falling and according have no relationship,falling ,according ,NONE
"Even in his own Cabinet , Howard is becoming increasingly isolated with his monarchist stance . "" It 's no secret that she 's indicated to me ... she is a 20th century democrat , understands that the role of the crown in Australia rests in the hands of the Australian people as it has for almost a hundred years . "" ",isolated and rests have no relationship,isolated ,rests ,NONE
"The giant foods , tobacco and brewing company said it will issue common-share purchase rights to shareholders of record Nov . 8 . The board is n't aware of any attempts to take over Philip Morris , the company said . ",said and said have no relationship,said ,said ,NONE
"Pretax profit fell 3.7 % to # 128 million from # 133 million and was below analysts ' expectations of # 130 million to # 135 million , but shares rose 6 pence to 388 pence in early trading yesterday in London . The British paper , packaging and publishing concern , said profit from continuing lines fell 10 % to # 118 million from # 130.6 million . ",fell and fell have no relationship,fell ,fell ,NONE
"Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval . Twelve Arab League nations voted for an Arab force to protect Saudi Arabia , with the vanguard of Syria 's contingent arriving Tuesday , according to diplomatic sources in Riyadh , the Saudi capital . ",seeking and according have no relationship,seeking ,according ,NONE
"Ralston said its restructuring costs include the phase-out of a battery facility in Greenville , N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company . Its cereal division realized higher operating profit on volume increases , but also spent more on promotion . ",said and realized have no relationship,said ,realized ,NONE
"Upjohn officials said they could n't estimate the size of the charge until they determine which employees , and how many , will participate in the retirement plan . The spokesman said it is the first early retirement plan offered under its two-year cost-control strategy . ",participate and offered have no relationship,participate ,offered ,NONE
The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations . ,petition is the cause of came ,petition ,came ,Cause-Effect
"Neither Equus nor Tony Lama gave a reason for the changed offer and Tony Lama could n't be reached for comment . Under terms of the new proposal , Equus , managed by Equus Capital Corp., Houston , would pay $ 12 cash and one new preferred share with a liquidation preference of $ 1.65 a share for each of Tony Lama 's 2.1 million shares outstanding . ",gave and pay have no relationship,gave ,pay ,NONE
"But because these claims are more difficult to evaluate and have been coming in more slowly , the company has no estimate of the impact of the earthquake on fourth-quarter results . ",difficult is the cause of has ,difficult ,has ,Cause-Effect
"The company , which currently has 13.5 million common shares outstanding , said it has no specific plans for the shares . ",said and has have no relationship,said ,has ,NONE
"Nashua Corp., rumored a potential takeover target for six months , said that a Dutch company has sought U.S. approval to buy up to 25 % of Nashua 's shares . B.V. of the Netherlands filed a request with the Federal Trade Commission under the Hart - Scott-Rodino Act for permission to buy more than $ 15 million of Nashua 's stock but less than 25 % . ",sought and filed have no relationship,sought ,filed ,NONE
"The unit makes intravenous pumps used by hospitals and had more than $ 110 million in sales last year , according to Advanced Medical . Advanced Medical Technologies Inc. said it purchased 93 % of a unit of Henley Group Inc. ",had and said have no relationship,had ,said ,NONE
"The program also calls for coordination of economic reforms and joint improvement of social programs in the two countries , where many people have become impoverished during the chaotic post-Soviet transition to capitalism . Russia and Ukraine share similar cultures and languages , and Ukraine was ruled from Moscow for centuries . ",transition and ruled have no relationship,transition ,ruled ,NONE
"Earnings were hurt by disposal of operations in its restructuring , Reed said . ",disposal is the cause of hurt ,disposal ,hurt ,Cause-Effect
"Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds , because federal regulations , such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries , have n't yet been completed . ",completed is the cause of know ,completed ,know ,Cause-Effect
"Under an accord signed yesterday , the government and Union Bank of Finland would become major shareholders in the new company , each injecting 100 million Finnish markkaa ( $ 23.5 million ) . Waertsilae Marine 's bankruptcy proceedings began Tuesday in a Helsinki court . ",signed and began have no relationship,signed ,began ,NONE
"The Portland , Ore . , thrift said the restructuring should help it meet new capital standards from the Financial Institution Reform , Recovery and Enforcement Act . ",restructuring is the cause of meet ,restructuring ,meet ,Cause-Effect
"Poughkeepsie also expects to post a one-time charge of $ 8.3 million , resulting in a net loss for the third quarter . The thrift and the holders had suspended their lawsuits as part of the agreement . ",expects and suspended have no relationship,expects ,suspended ,NONE
"His advisers said the results reflected not just from balancing the budget , but also initiatives like improved access to education and training and the opening of foreign markets to trade . ",initiatives is the cause of results ,initiatives ,results ,Cause-Effect
The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end . ,complete and transaction have no relationship,complete ,transaction ,NONE
"Heritage , which owns 51 % of POP 's 3.6 million shares outstanding , said it will exchange one share of a new preferred stock for each POP common share it does n't already own . New York-based POP Radio provides , through a national , in-store network , a customized music , information and advertising service which simulates live radio . ",said and provides have no relationship,said ,provides ,NONE
The university had sought an injunction blocking Connaught 's board from recommending or supporting an offer for the company by Merieux . ,injunction is the cause of recommending ,injunction ,recommending ,Cause-Effect
"But in recent weeks , construction-industry sources reported that early preparation work was slowing at the 185-acre site . Kellogg is so anxious to turn around Corn Flakes sales that it soon will begin selling boxes for as little as 99 cents , trade sources say . ",reported and begin have no relationship,reported ,begin ,NONE
"Previously , Columbia did n't have to adjust the book value of its junk-bond holdings to reflect declines in market prices , because it held the bonds as long-term investments . Because Columbia now must sell the bonds within five years , accounting rules require the thrift to value the bonds at the lower of cost or market prices . ",adjust and require have no relationship,adjust ,require ,NONE
"Nonetheless , concern about the chip may have been responsible for a decline of 87.5 cents in Intel 's stock to $ 32 a share yesterday in over-the-counter trading , on volume of 3,609,800 shares , and partly responsible for a drop in Compaq 's stock in New York Stock Exchange composite trading on Wednesday . ",concern is the cause of drop ,concern ,drop ,Cause-Effect
"Aetna Life amp Casualty Co.'s third-quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions . ",fell is the cause of results ,fell ,results ,Cause-Effect
